TotalBill,tip,sex,smoker,day,time,size,TipPercent
16.99,1.01,Female,No,Sun,Dinner,2,5.94
10.34,1.66,Male,No,Sun,Dinner,3,16.05
21.01,3.5,Male,No,Sun,Dinner,3,16.66
23.68,3.31,Male,No,Sun,Dinner,2,13.98
24.59,3.61,Female,No,Sun,Dinner,4,14.68
25.29,4.71,Male,No,Sun,Dinner,4,18.62
8.77,,Male,No,Sun,Dinner,2,
26.88,3.12,Male,No,Sun,Dinner,4,11.61
15.04,1.96,Male,No,Sun,Dinner,2,13.03
14.78,,Male,No,Sun,Dinner,2,
10.27,1.71,Male,No,Sun,Dinner,2,16.65
35.26,5.0,Female,No,Sun,Dinner,4,14.18
15.42,1.57,Male,No,Sun,Dinner,2,10.18
18.43,3.0,Male,No,Sun,Dinner,4,16.28
14.83,3.02,Female,No,Sun,Dinner,2,20.36
21.58,3.92,Male,No,Sun,Dinner,2,18.16
10.33,1.67,Female,No,Sun,Dinner,3,16.17
16.29,3.71,Male,No,Sun,Dinner,3,22.77
16.97,3.5,Female,No,Sun,Dinner,3,20.62
20.65,3.35,Male,No,Sat,Dinner,3,16.22
17.92,4.08,Male,No,Sat,Dinner,2,22.77
20.29,2.75,Female,No,Sat,Dinner,2,13.55
15.77,2.23,Female,No,Sat,Dinner,2,14.14
39.42,7.58,Male,No,Sat,Dinner,4,19.23
19.82,,Male,No,Sat,Dinner,2,
17.81,2.34,Male,No,Sat,Dinner,4,13.14
13.37,2.0,Male,No,Sat,Dinner,2,14.96
12.69,2.0,Male,No,Sat,Dinner,2,15.76
21.7,4.3,Male,No,Sat,Dinner,2,19.82
19.65,3.0,Female,No,Sat,Dinner,2,15.27
9.55,1.45,Male,No,Sat,Dinner,2,15.18
18.35,2.5,Male,No,Sat,Dinner,4,13.62
15.06,3.0,Female,No,Sat,Dinner,2,19.92
20.69,2.45,Female,No,Sat,Dinner,4,11.84
17.78,3.27,Male,No,Sat,Dinner,2,18.39
24.06,3.6,Male,No,Sat,Dinner,3,14.96
16.31,2.0,Male,No,Sat,Dinner,3,12.26
16.93,3.07,Female,No,Sat,Dinner,3,18.13
18.69,2.31,Male,No,Sat,Dinner,3,12.36
31.27,5.0,Male,No,Sat,Dinner,3,15.99
16.04,2.24,Male,No,Sat,Dinner,3,13.97
17.46,2.54,Male,No,Sun,Dinner,2,14.55
13.94,3.06,Male,No,Sun,Dinner,2,21.95
9.68,1.32,Male,No,Sun,Dinner,2,13.64
30.4,5.6,Male,No,Sun,Dinner,4,18.42
18.29,3.0,Male,No,Sun,Dinner,2,16.4
22.23,5.0,Male,No,Sun,Dinner,2,22.49
32.4,6.0,Male,No,Sun,Dinner,4,18.52
28.55,2.05,Male,No,Sun,Dinner,3,7.18
18.04,3.0,Male,No,Sun,Dinner,2,16.63
